blob_sha,size_bytes,path
7254830e4288c4a984cacd09519233cde1e7491d,648000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/x_mitdb/x_232.dat
797ea4324aea97ea2bb0d27ab9cffe910904f600,648000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/x_mitdb/x_233.dat
20616d6d91a2d440daa562e41c8590f365300d92,648000,components/afe_xmodel/algorithm/person_data/mitdb/1.0.0/x_mitdb/x_234.dat
1ac55a45442ee216025476f4c98bfe8b46f7f2f2,603170,components/afe_xmodel/docs/xmodel_info/XMODEL_Installation_Setup_Guide.pdf
cf6972806b3a06d6b0d9fe3043d1dd11290bc95a,584036,components/afe_xmodel/docs/xmodel_info/XMODEL_Setup_Summary.pdf
322fcd65996795d989ad55ca0b4c3d1cbf2fdfbb,570222,components/afe_xmodel/docs/team_handoff/ECG_SoC_팀전달_통합검증.pdf
ab7b365042b5d8b39b90c635240af0257f6950d0,552960,components/afe_xmodel/algorithm/person_data/chfdb/1.0.0/chf04.ecg
cb28714f2a5ec48b50882b2167145a6fa0d7eed3,540247,components/digital_accelerator/vivado_project/SNN_ECG_MB_FULL_REPLAY/SNN_ECG_MB_FULL_REPLAY.srcs/sources_1/bd/snn_ecg_mb_full_replay/ip/snn_ecg_mb_full_replay_xbar_0/snn_ecg_mb_full_replay_xbar_0.xci
5038433bc77b831ffe77b6024463246fd08d88b1,468633,components/afe_xmodel/algorithm/ECG_Data_Analysis.ipynb
bcd987ade6c74d58982b49cc476ba5d07b67be51,461400,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/16773.atr
82543700c35e53372333bdd4e63e4558e8defa63,440815,components/afe_xmodel/docs/team_handoff/ECG_SoC_알고리즘팀_전달.pdf
018a03533f1d47e0e42c003b5ca78f21a449b0ea,416785,components/digital_accelerator/results/board_replay/microblaze_full_replay/snn_ecg_mb_full_replay.xsa
71ca7c1381da6d9553297be220b53d0aab6e657a,413624,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/18177.atr
701e8487b99b319ee0321dedd79c87dfbf347978,390826,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/19088.atr
b00b8b8045b5116e0ca86a822294baf650a32d2f,375953,components/afe_xmodel/algorithm/decision_tree.png
ab057e2ee400315afad4e216d2275ceb755e7394,349972,components/afe_xmodel/algorithm/person_data/nsrdb/1.0.0/19830.atr
