test_id,variant,source_schematic,simulation_type,metric,target,measured,unit,deviation,status,evidence_path,notes
STRESS_bw_0p2hz_2m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p2hz_2m.cir,TRAN,minimum_opamp_rail_headroom_after_2s,,1.38317488235,V,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p2hz_2m.raw,reference=aligned nominal
STRESS_bw_0p2hz_2m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p2hz_2m.cir,TRAN,recovery_last_sample_over_20_code,,2,s,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p2hz_2m.raw,fixed XMODEL run_stress.sh definition; input disturbance steps at 50us
STRESS_bw_0p2hz_2m,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_bw_0p2hz_2m.cir,TRAN,recovered_within_first_2s_window,,false,boolean,,MEASURED,results/xmodel_aligned/raw/xma_bw_0p2hz_2m.raw,"false means the fixed-script 2.000 s search window ended before a recovery time could be established; 2.000 s is censored, not a claimed recovery"
STRESS_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli60.cir,TRAN,signed_code_min,,-186,code,,MEASURED,results/xmodel_aligned/raw/xma_pli60.raw,reference=aligned nominal
STRESS_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli60.cir,TRAN,signed_code_max,,303,code,,MEASURED,results/xmodel_aligned/raw/xma_pli60.raw,reference=aligned nominal
STRESS_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli60.cir,TRAN,clip_count_total,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_pli60.raw,reference=aligned nominal
STRESS_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli60.cir,TRAN,clip_count_after_2s,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_pli60.raw,reference=aligned nominal
STRESS_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli60.cir,TRAN,mean_code_difference_after_2s,,-0.000333333333333,LSB,,MEASURED,results/xmodel_aligned/raw/xma_pli60.raw,reference=aligned nominal
STRESS_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli60.cir,TRAN,mae_code_difference_after_2s,,0.00366666666667,LSB,,MEASURED,results/xmodel_aligned/raw/xma_pli60.raw,reference=aligned nominal
STRESS_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli60.cir,TRAN,rms_code_difference_after_2s,,0.0605530070819,LSB,,MEASURED,results/xmodel_aligned/raw/xma_pli60.raw,reference=aligned nominal
STRESS_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli60.cir,TRAN,maximum_code_difference_after_2s,,1,LSB,,MEASURED,results/xmodel_aligned/raw/xma_pli60.raw,reference=aligned nominal
STRESS_pli60,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli60.cir,TRAN,minimum_opamp_rail_headroom_after_2s,,0.936573946603,V,,MEASURED,results/xmodel_aligned/raw/xma_pli60.raw,reference=aligned nominal
STRESS_pli50,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli50.cir,TRAN,signed_code_min,,-293,code,,MEASURED,results/xmodel_aligned/raw/xma_pli50.raw,reference=aligned nominal
STRESS_pli50,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli50.cir,TRAN,signed_code_max,,495,code,,MEASURED,results/xmodel_aligned/raw/xma_pli50.raw,reference=aligned nominal
STRESS_pli50,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli50.cir,TRAN,clip_count_total,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_pli50.raw,reference=aligned nominal
STRESS_pli50,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli50.cir,TRAN,clip_count_after_2s,,0,samples,,MEASURED,results/xmodel_aligned/raw/xma_pli50.raw,reference=aligned nominal
STRESS_pli50,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli50.cir,TRAN,mean_code_difference_after_2s,,0,LSB,,MEASURED,results/xmodel_aligned/raw/xma_pli50.raw,reference=aligned nominal
STRESS_pli50,XMODEL_ALIGNED,schematics/xmodel_aligned/xma_pli50.cir,TRAN,mae_code_difference_after_2s,,132.466,LSB,,MEASURED,results/xmodel_aligned/raw/xma_pli50.raw,reference=aligned nominal
