scope,grid_x,grid_y,placed_primitives,representative_tile
"accelerator",114,103,5,"CLBLM_L_X46Y100"
"accelerator",114,105,5,"CLBLM_L_X46Y99"
"accelerator",114,106,5,"CLBLM_L_X46Y98"
"accelerator",114,107,9,"CLBLM_L_X46Y97"
"accelerator",114,108,4,"CLBLM_L_X46Y96"
"accelerator",114,109,5,"CLBLM_L_X46Y95"
"accelerator",114,119,5,"CLBLM_L_X46Y85"
"accelerator",114,120,5,"CLBLM_L_X46Y84"
"accelerator",114,121,5,"CLBLM_L_X46Y83"
"accelerator",114,122,6,"CLBLM_L_X46Y82"
"accelerator",114,123,12,"CLBLM_L_X46Y81"
"accelerator",114,126,6,"CLBLM_L_X46Y78"
"accelerator",114,127,10,"CLBLM_L_X46Y77"
"accelerator",114,128,11,"CLBLM_L_X46Y76"
"accelerator",114,129,9,"CLBLM_L_X46Y75"
"accelerator",114,137,8,"CLBLM_L_X46Y68"
"accelerator",114,144,4,"CLBLM_L_X46Y61"
"accelerator",114,145,4,"CLBLM_L_X46Y60"
"accelerator",114,146,3,"CLBLM_L_X46Y59"
"accelerator",114,147,6,"CLBLM_L_X46Y58"
"accelerator",114,148,2,"CLBLM_L_X46Y57"
"accelerator",114,149,5,"CLBLM_L_X46Y56"
"accelerator",114,151,2,"CLBLM_L_X46Y54"
"accelerator",114,152,2,"CLBLM_L_X46Y53"
"accelerator",114,153,2,"CLBLM_L_X46Y52"
"accelerator",114,154,3,"CLBLM_L_X46Y51"
"accelerator",114,97,6,"CLBLM_L_X46Y106"
"accelerator",114,98,9,"CLBLM_L_X46Y105"
"accelerator",114,99,7,"CLBLM_L_X46Y104"
"accelerator",117,123,13,"CLBLM_R_X47Y81"
"accelerator",117,127,13,"CLBLM_R_X47Y77"
"accelerator",117,128,11,"CLBLM_R_X47Y76"
"accelerator",117,129,11,"CLBLM_R_X47Y75"
"accelerator",117,146,4,"CLBLM_R_X47Y59"
"accelerator",117,147,8,"CLBLM_R_X47Y58"
"accelerator",117,148,8,"CLBLM_R_X47Y57"
"accelerator",117,149,8,"CLBLM_R_X47Y56"
"accelerator",117,151,8,"CLBLM_R_X47Y54"
"accelerator",117,152,7,"CLBLM_R_X47Y53"
"accelerator",117,153,9,"CLBLM_R_X47Y52"
"accelerator",117,154,8,"CLBLM_R_X47Y51"
"accelerator",13,110,5,"CLBLM_R_X3Y94"
"accelerator",13,111,8,"CLBLM_R_X3Y93"
"accelerator",13,112,9,"CLBLM_R_X3Y92"
"accelerator",13,113,9,"CLBLM_R_X3Y91"
"accelerator",13,114,9,"CLBLM_R_X3Y90"
"accelerator",13,116,9,"CLBLM_R_X3Y88"
"accelerator",13,117,9,"CLBLM_R_X3Y87"
"accelerator",13,118,8,"CLBLM_R_X3Y86"
"accelerator",14,112,9,"CLBLL_L_X4Y92"
"accelerator",14,113,9,"CLBLL_L_X4Y91"
"accelerator",14,114,8,"CLBLL_L_X4Y90"
"accelerator",14,116,9,"CLBLL_L_X4Y88"
"accelerator",14,117,9,"CLBLL_L_X4Y87"
"accelerator",14,118,8,"CLBLL_L_X4Y86"
"accelerator",17,103,3,"CLBLM_R_X5Y100"
"accelerator",17,105,8,"CLBLM_R_X5Y99"
"accelerator",17,106,8,"CLBLM_R_X5Y98"
"accelerator",17,107,9,"CLBLM_R_X5Y97"
"accelerator",17,108,16,"CLBLM_R_X5Y96"
"accelerator",17,109,13,"CLBLM_R_X5Y95"
"accelerator",17,110,11,"CLBLM_R_X5Y94"
"accelerator",17,111,5,"CLBLM_R_X5Y93"
"accelerator",17,112,5,"CLBLM_R_X5Y92"
"accelerator",17,113,12,"CLBLM_R_X5Y91"
"accelerator",17,114,13,"CLBLM_R_X5Y90"
"accelerator",17,115,9,"CLBLM_R_X5Y89"
"accelerator",17,116,9,"CLBLM_R_X5Y88"
"accelerator",17,117,9,"CLBLM_R_X5Y87"
